date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:15	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2010%20Feb%202021%2014:10:35%20GMT	http://img1.blogblog.com/img/blank.gif	C:/My%20Web%20Sites/fuckier/img1.blogblog.com/img/blank.gif	(from http://brakt-demo3.blogspot.com/)
23:06:17	392244/392244	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2017:06:14%20GMT	http://brakt-demo3.blogspot.com/Version/	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/Version/index.html	(from http://brakt-demo3.blogspot.com/)
23:06:17	392244/392244	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Feb%202021%2017:06:14%20GMT	http://brakt-demo3.blogspot.com/version/	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/version/index-2.html	(from http://brakt-demo3.blogspot.com/)
23:06:18	144734/144734	---M--	200	added ('OK')	text/javascript	date:Thu,%2011%20Feb%202021%2011:07:04%20GMT	https://www.blogger.com/static/v1/widgets/3672613597-widgets.js	C:/My%20Web%20Sites/fuckier/www.blogger.com/static/v1/widgets/3672613597-widgets.js	(from http://brakt-demo3.blogspot.com/)
23:06:18	233/233	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Feb%202021%2008:25:52%20GMT	https://www.blogger.com/img/widgets/stats-flipper.png	C:/My%20Web%20Sites/fuckier/www.blogger.com/img/widgets/stats-flipper.png	(from https://www.blogger.com/static/v1/widgets/3416767676-css_bundle_v2.css)
23:06:19	335/335	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Feb%202021%2006:09:10%20GMT	https://resources.blogblog.com/img/widgets/s_top.png	C:/My%20Web%20Sites/fuckier/resources.blogblog.com/img/widgets/s_top.png	(from https://www.blogger.com/static/v1/widgets/3416767676-css_bundle_v2.css)
23:06:22	1/1	---MC-	200	added ('OK')	text/css	date:Wed,%2017%20Feb%202021%2017:06:21%20GMT	https://draft.blogger.com/dyn-css/authorization.css?targetBlogID=8964755786879908344&zx=db7da8e5-eb05-4a20-ba4e-845ecf3b2861	C:/My%20Web%20Sites/fuckier/draft.blogger.com/dyn-css/authorization3b0f.css	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:25	406926/406926	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/woman-on-rock-platform-viewing-city.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/woman-on-rock-platform-viewing-city.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:25	392272/392272	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/search/label/mega/	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/search/label/mega/index.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:29	404113/404113	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/woman-wearing-gray-long-sleeve-shirt.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/woman-wearing-gray-long-sleeve-shirt.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:32	392886/392886	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/search/label/Travel?updated-max=2016-11-24T09:22:00-08:00&max-results=20&start=20&by-date=false	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/search/label/Travel748f.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:34	50203/50203	---M--	200	added ('OK')	image/jpeg	etag:%22v13f%22	https://1.bp.blogspot.com/-iJfh9TD6xaA/WDcnuYNK7hI/AAAAAAAAATg/Okb2JqXVf6MKYYhvo6b7ARSKNlZ3KN2uACLcB/s1600/pexels-photo-196667.jpeg	C:/My%20Web%20Sites/fuckier/1.bp.blogspot.com/-iJfh9TD6xaA/WDcnuYNK7hI/AAAAAAAAATg/Okb2JqXVf6MKYYhvo6b7ARSKNlZ3KN2uACLcB/s1600/pexels-photo-196667.jpeg	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:34	392402/392402	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/search/label/default.jpg	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/search/label/default.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:35	392320/392320	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/search/label/Version/	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/search/label/Version/index.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:39	392320/392320	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/search/label/version/	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/search/label/version/index-2.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:40	392416/392416	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/search/label/mqdefault.jpg	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/search/label/mqdefault.html	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:41	55042/55042	---M--	200	added ('OK')	image/jpeg	etag:%22v135%22	https://1.bp.blogspot.com/-OeN7zzICo6w/WDchuR6uPkI/AAAAAAAAAS0/nZvC7VjuaiofAnp6L4WOkRuY7MAwYETTACLcB/s1600/pexels-photo-198910.jpeg	C:/My%20Web%20Sites/fuckier/1.bp.blogspot.com/-OeN7zzICo6w/WDchuR6uPkI/AAAAAAAAAS0/nZvC7VjuaiofAnp6L4WOkRuY7MAwYETTACLcB/s1600/pexels-photo-198910.jpeg	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:44	404109/404109	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/girl-standing-on-green-and-brown-grass.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/girl-standing-on-green-and-brown-grass.html	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:06:47	405828/405828	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/sitting-woman-wearing-vhecked-shirt-on.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/sitting-woman-wearing-vhecked-shirt-on.html	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:06:51	413389/413389	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/eget-nonummy-sollicitudin-scelerisque.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/eget-nonummy-sollicitudin-scelerisque.html	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:06:51	44162/44162	---M--	200	added ('OK')	image/jpeg	etag:%22v12b%22	https://4.bp.blogspot.com/-d0r59SVT2n4/WDcPh-a4REI/AAAAAAAAASk/kly_keyqkPIe_TwulQyBz7XX0maZEBhtwCLcB/s1600/pexels-photo-201510.jpeg	C:/My%20Web%20Sites/fuckier/4.bp.blogspot.com/-d0r59SVT2n4/WDcPh-a4REI/AAAAAAAAASk/kly_keyqkPIe_TwulQyBz7XX0maZEBhtwCLcB/s1600/pexels-photo-201510.jpeg	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:06:51	76293/76293	---M--	200	added ('OK')	image/jpeg	etag:%22v128%22	https://4.bp.blogspot.com/-UMR-HkbhYrs/WDcOJKlee9I/AAAAAAAAASY/aSINm-JRzzk6QpAWNxfvg1vn6eHnDMLCwCLcB/s1600/pexels-photo-67475.jpeg	C:/My%20Web%20Sites/fuckier/4.bp.blogspot.com/-UMR-HkbhYrs/WDcOJKlee9I/AAAAAAAAASY/aSINm-JRzzk6QpAWNxfvg1vn6eHnDMLCwCLcB/s1600/pexels-photo-67475.jpeg	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:06:51	146886/146886	---M--	200	added ('OK')	text/javascript	date:Mon,%2015%20Feb%202021%2000:17:54%20GMT	https://www.blogger.com/static/v1/widgets/2473628150-widgets.js	C:/My%20Web%20Sites/fuckier/www.blogger.com/static/v1/widgets/2473628150-widgets.js	(from http://brakt-demo3.blogspot.com/search/label/Travel)
23:06:54	403979/403979	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/seitan-high-life-reprehenderit.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/seitan-high-life-reprehenderit.html	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:06:57	34520/34520	---M--	200	added ('OK')	image/jpeg	etag:%22v11f%22	https://3.bp.blogspot.com/-Vu6krrIrQZs/WDcIrEh6DPI/AAAAAAAAARw/KrHxuarE4rcJZY9JfyVQ0Xs8vfMXMaOEgCLcB/s1600/photo-1479249849676-c7b3cb407acc.jpg	C:/My%20Web%20Sites/fuckier/3.bp.blogspot.com/-Vu6krrIrQZs/WDcIrEh6DPI/AAAAAAAAARw/KrHxuarE4rcJZY9JfyVQ0Xs8vfMXMaOEgCLcB/s1600/photo-1479249849676-c7b3cb407acc.jpg	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:06:58	502989/502989	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/index.html	(from http://brakt-demo3.blogspot.com/2016_11_01_archive.html)
23:06:59	27425/27425	---M--	200	added ('OK')	image/jpeg	etag:%22v11d%22	https://1.bp.blogspot.com/-uA3v8UyxHog/WDcHvuXsrqI/AAAAAAAAARo/MCYI7tccuhYF42r_hFrPRJmxyGwrApmgwCLcB/s1600/photo-1479569057788-b5a81cf434a5.jpg	C:/My%20Web%20Sites/fuckier/1.bp.blogspot.com/-uA3v8UyxHog/WDcHvuXsrqI/AAAAAAAAARo/MCYI7tccuhYF42r_hFrPRJmxyGwrApmgwCLcB/s1600/photo-1479569057788-b5a81cf434a5.jpg	(from http://brakt-demo3.blogspot.com/search/label/life%20style)
23:07:00	405746/405746	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/man-relaxing-and-play-guitar-front-lake.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/man-relaxing-and-play-guitar-front-lake.html	(from http://brakt-demo3.blogspot.com/2016_11_01_archive.html)
23:07:03	403778/403778	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/man-wearing-black-and-red-checkered.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/man-wearing-black-and-red-checkered.html	(from http://brakt-demo3.blogspot.com/2016_11_01_archive.html)
23:07:06	404123/404123	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/2016/11/man-wearing-sweater-holding-pine-cone.html	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/2016/11/man-wearing-sweater-holding-pine-cone.html	(from http://brakt-demo3.blogspot.com/2016_11_01_archive.html)
